Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_0_0,U_0_1,U_0_2,U_0_Magnitude,U_1,U_2,U_Magnitude,cellMotionU_0,cellMotionU_1,cellMotionU_2,cellMotionU_Magnitude,k,nut,omega,p,pointMotionU_0,pointMotionU_1,pointMotionU_2,pointMotionU_Magnitude,rAU,Block Number,Point ID
0,-0.368006,-0.0464883,0.370931,-8.57E-17,-8.57E-17,-2.32E-17,2.00E-16,2.19E-16,-2.32E-17,2.00E-16,2.19E-16,0,0,0,0,3.00E-06,0,6475.4,0.0574428,0,0,0,0,0.015519,5,43
0,-0.33561,0.157924,0.37091,-1.27E-16,-1.27E-16,-2.44E-16,-5.36E-16,6.03E-16,-2.44E-16,-5.36E-16,6.03E-16,0,0,0,0,3.24E-06,0,6054.41,0.0574423,0,0,0,0,0.0165317,5,27108
0,-0.366333,-0.0580202,0.370899,-4.23E-17,-4.23E-17,-4.20E-18,2.86E-17,5.12E-17,-4.20E-18,2.86E-17,5.12E-17,0,0,0,0,3.07E-06,0,6354.45,0.0574378,0,0,0,0,0.0157933,5,41
0,-0.348968,-0.125636,0.370895,-8.44E-17,-8.44E-17,1.57E-16,-4.65E-16,4.98E-16,1.57E-16,-4.65E-16,4.98E-16,0,0,0,0,3.25E-06,0,6050.67,0.0574363,0,0,0,0,0.0165341,5,29
0,-0.168406,-0.330521,0.370951,4.34E-17,4.34E-17,2.30E-20,4.50E-20,4.34E-17,2.30E-20,4.50E-20,4.34E-17,0,0,0,0,3.21E-06,0,6068.81,0.0574356,0,0,0,0,0.0165008,5,13824
0,-0.168406,0.33052,0.37095,-1.74E-16,-1.74E-16,5.13E-16,2.73E-16,6.07E-16,5.13E-16,2.73E-16,6.07E-16,0,0,0,0,3.21E-06,0,6071.77,0.0574349,0,0,0,0,0.0164942,5,40375
0,-0.03491,0.369321,0.370967,-8.62E-17,-8.62E-17,6.58E-17,1.08E-17,1.09E-16,6.58E-17,1.08E-17,1.09E-16,0,0,0,0,2.92E-06,0,6629.79,0.0574337,0,0,0,0,0.0151863,5,40399
0,-0.356237,0.103495,0.370966,-3.15E-20,-3.15E-20,-9.72E-17,-3.17E-16,3.32E-16,-9.72E-17,-3.17E-16,3.32E-16,0,0,0,0,3.20E-06,0,6099.03,0.0574326,0,0,0,0,0.0164141,5,27098
0,-0.03491,-0.369321,0.370967,-8.65E-17,-8.65E-17,2.06E-17,-2.28E-18,8.90E-17,2.06E-17,-2.28E-18,8.90E-17,0,0,0,0,2.92E-06,0,6629.79,0.0574315,0,0,0,0,0.0151863,5,13848
0,-0.319292,0.188827,0.370949,4.67E-19,4.67E-19,8.16E-17,9.64E-17,1.26E-16,8.16E-17,9.64E-17,1.26E-16,0,0,0,0,3.16E-06,0,6135.28,0.0574315,0,0,0,0,0.0163403,5,27114
0,-0.364387,-0.0695092,0.370957,-4.34E-17,-4.34E-17,-1.72E-20,-2.95E-21,4.34E-17,-1.72E-20,-2.95E-21,4.34E-17,0,0,0,0,3.12E-06,0,6258.94,0.0574278,0,0,0,0,0.0160172,5,39
0,-0.0232888,0.370176,0.370908,4.97E-19,4.97E-19,-1.06E-16,-8.03E-18,1.06E-16,-1.06E-16,-8.03E-18,1.06E-16,0,0,0,0,2.83E-06,0,6832.82,0.0574245,0,0,0,0,0.014767,5,40401
0,-0.0232888,-0.370176,0.370908,8.67E-17,8.67E-17,1.73E-16,-8.51E-18,1.94E-16,1.73E-16,-8.51E-18,1.94E-16,0,0,0,0,2.83E-06,0,6832.82,0.0574209,0,0,0,0,0.014767,5,13850
0,-0.361994,0.0809136,0.370927,-1.76E-16,-1.76E-16,-1.32E-18,-6.28E-18,1.76E-16,-1.32E-18,-6.28E-18,1.76E-16,0,0,0,0,3.16E-06,0,6190.2,0.0574152,0,0,0,0,0.0161826,5,27094
0,4.54E-17,0.371,0.371,6.84E-19,6.84E-19,-1.42E-17,6.14E-19,1.42E-17,-1.42E-17,6.14E-19,1.42E-17,0,0,0,0,2.66E-06,0,7228.57,0.0574148,0,0,0,0,0.014004,5,40405
0,-0.157924,-0.33561,0.37091,-8.72E-17,-8.72E-17,5.79E-16,-2.58E-16,6.40E-16,5.79E-16,-2.58E-16,6.40E-16,0,0,0,0,3.23E-06,0,6051.5,0.0574142,0,0,0,0,0.0165412,5,13826
0,-0.157924,0.33561,0.37091,-8.54E-17,-8.54E-17,-5.26E-17,-2.31E-17,1.03E-16,-5.26E-17,-2.31E-17,1.03E-16,0,0,0,0,3.23E-06,0,6053,0.0574134,0,0,0,0,0.0165379,5,40377
0,-0.0695092,-0.364387,0.370957,-4.23E-17,-4.23E-17,-4.63E-17,6.09E-18,6.30E-17,-4.63E-17,6.09E-18,6.30E-17,0,0,0,0,3.12E-06,0,6262.1,0.0574131,0,0,0,0,0.0160124,5,13842
0,-0.0695092,0.364387,0.370957,-8.58E-17,-8.58E-17,-5.10E-16,-9.79E-17,5.26E-16,-5.10E-16,-9.79E-17,5.26E-16,0,0,0,0,3.12E-06,0,6262.1,0.0574114,0,0,0,0,0.0160124,5,40393
0,0,-0.371,0.371,4.41E-17,4.41E-17,1.42E-17,-6.35E-19,4.63E-17,1.42E-17,-6.35E-19,4.63E-17,0,0,0,0,2.66E-06,0,7228.57,0.0574092,0,0,0,0,0.014004,5,13854
0,-0.359242,0.0922366,0.370894,-1.32E-16,-1.32E-16,-1.34E-18,-6.28E-18,1.32E-16,-1.34E-18,-6.28E-18,1.32E-16,0,0,0,0,3.18E-06,0,6139.74,0.0574057,0,0,0,0,0.0163104,5,27096
0,-0.356237,-0.103495,0.370966,-1.24E-18,-1.24E-18,2.45E-17,-3.90E-17,4.61E-17,2.45E-17,-3.90E-17,4.61E-17,0,0,0,0,3.20E-06,0,6099.07,0.057404,0,0,0,0,0.0164129,5,33
0,-0.306755,0.20847,0.370889,-4.39E-17,-4.39E-17,-3.18E-16,-4.86E-16,5.82E-16,-3.18E-16,-4.86E-16,5.82E-16,0,0,0,0,3.03E-06,0,6263.63,0.0574032,0,0,0,0,0.0160367,5,27118
0,0.03491,0.369321,0.370967,-8.55E-17,-8.55E-17,1.04E-16,-7.27E-18,1.35E-16,1.04E-16,-7.27E-18,1.35E-16,0,0,0,0,2.97E-06,0,6629.8,0.0574028,0,0,0,0,0.0151831,5,66911
0,0.03491,-0.369321,0.370967,-4.32E-17,-4.32E-17,-2.06E-17,-2.28E-18,4.79E-17,-2.06E-17,-2.28E-18,4.79E-17,0,0,0,0,2.97E-06,0,6629.8,0.057399,0,0,0,0,0.0151831,5,53635
0,-0.0116498,0.37074,0.370923,4.41E-17,4.41E-17,7.50E-18,1.96E-19,4.47E-17,7.50E-18,1.96E-19,4.47E-17,0,0,0,0,2.71E-06,0,7088.05,0.057399,0,0,0,0,0.0142689,5,40403
0,-0.125636,-0.348968,0.370895,0,0,0,0,0,0,0,0,0,0,0,0,3.25E-06,0,6052.85,0.0573987,0,0,0,0,0.0165295,5,13832
0,-0.125636,0.348968,0.370895,-4.31E-17,-4.31E-17,4.58E-16,1.72E-16,4.91E-16,4.58E-16,1.72E-16,4.91E-16,0,0,0,0,3.25E-06,0,6052.85,0.0573969,0,0,0,0,0.0165292,5,40383
0,-0.0464883,0.368006,0.370931,3.79E-20,3.79E-20,1.47E-18,-5.65E-18,5.84E-18,1.47E-18,-5.65E-18,5.84E-18,0,0,0,0,3.00E-06,0,6475.54,0.0573946,0,0,0,0,0.0155185,5,40397
0,-0.0116498,-0.37074,0.370923,8.67E-17,8.67E-17,1.95E-16,-8.96E-18,2.13E-16,1.95E-16,-8.96E-18,2.13E-16,0,0,0,0,2.71E-06,0,7088.05,0.0573941,0,0,0,0,0.0142689,5,13852
0,-0.0464883,-0.368006,0.370931,-4.32E-17,-4.32E-17,2.06E-17,-2.34E-18,4.79E-17,2.06E-17,-2.34E-18,4.79E-17,0,0,0,0,3.00E-06,0,6475.54,0.057394,0,0,0,0,0.0155185,5,13846
0,-0.352759,0.114616,0.370912,4.13E-17,4.13E-17,5.17E-17,1.12E-16,1.30E-16,5.17E-17,1.12E-16,1.30E-16,0,0,0,0,3.21E-06,0,6068.83,0.0573895,0,0,0,0,0.0164851,5,27100
0,-0.0580202,-0.366333,0.370899,4.34E-17,4.34E-17,-1.03E-16,1.78E-17,1.13E-16,-1.03E-16,1.78E-17,1.13E-16,0,0,0,0,3.06E-06,0,6356.13,0.0573888,0,0,0,0,0.0157896,5,13844
0,-0.0580202,0.366333,0.370899,-2.75E-21,-2.75E-21,-4.04E-16,-6.51E-17,4.09E-16,-4.04E-16,-6.51E-17,4.09E-16,0,0,0,0,3.06E-06,0,6356.13,0.057388,0,0,0,0,0.0157896,5,40395
0,-0.103495,-0.356237,0.370966,-4.22E-17,-4.22E-17,-7.15E-16,2.10E-16,7.47E-16,-7.15E-16,2.10E-16,7.47E-16,0,0,0,0,3.20E-06,0,6097.09,0.0573862,0,0,0,0,0.0164176,5,13836
0,-0.359242,-0.0922366,0.370894,-9.17E-17,-9.17E-17,-9.75E-17,3.62E-16,3.86E-16,-9.75E-17,3.62E-16,3.86E-16,0,0,0,0,3.18E-06,0,6139.82,0.0573859,0,0,0,0,0.01631,5,35
0,-0.103495,0.356237,0.370966,4.45E-17,4.45E-17,-3.93E-16,-1.22E-16,4.13E-16,-3.93E-16,-1.22E-16,4.13E-16,0,0,0,0,3.20E-06,0,6097.09,0.0573839,0,0,0,0,0.0164172,5,40387
0,-0.361994,-0.0809136,0.370927,-9.09E-17,-9.09E-17,-2.93E-18,1.25E-17,9.18E-17,-2.93E-18,1.25E-17,9.18E-17,0,0,0,0,3.15E-06,0,6190.24,0.0573781,0,0,0,0,0.0161831,5,37
0,-0.0809136,-0.361994,0.370927,-1.05E-18,-1.05E-18,-2.57E-16,6.33E-17,2.65E-16,-2.57E-16,6.33E-17,2.65E-16,0,0,0,0,3.15E-06,0,6192.06,0.0573739,0,0,0,0,0.016181,5,13840
0,-0.340389,0.147297,0.370892,1.97E-18,1.97E-18,-2.38E-16,-5.23E-16,5.74E-16,-2.38E-16,-5.23E-16,5.74E-16,0,0,0,0,3.20E-06,0,6043.37,0.057373,0,0,0,0,0.0165531,5,27106
0,-0.0809136,0.361994,0.370927,-1.22E-18,-1.22E-18,-2.62E-16,-5.38E-17,2.67E-16,-2.62E-16,-5.38E-17,2.67E-16,0,0,0,0,3.15E-06,0,6192.06,0.0573715,0,0,0,0,0.0161811,5,40391
0,-0.147297,-0.340389,0.370892,-1.93E-18,-1.93E-18,1.07E-15,-4.66E-16,1.17E-15,1.07E-15,-4.66E-16,1.17E-15,0,0,0,0,3.20E-06,0,6043.44,0.0573621,0,0,0,0,0.0165572,5,13828
0,-0.147297,0.340389,0.370892,4.41E-17,4.41E-17,4.34E-16,1.80E-16,4.72E-16,4.34E-16,1.80E-16,4.72E-16,0,0,0,0,3.20E-06,0,6043.44,0.057361,0,0,0,0,0.0165572,5,40379
0,-0.340389,-0.147297,0.370892,8.72E-17,8.72E-17,2.61E-16,-5.75E-16,6.38E-16,2.61E-16,-5.75E-16,6.38E-16,0,0,0,0,3.20E-06,0,6043.37,0.0573575,0,0,0,0,0.0165551,5,25
0,-0.352759,-0.114616,0.370912,8.67E-17,8.67E-17,3.34E-16,-1.01E-15,1.07E-15,3.34E-16,-1.01E-15,1.07E-15,0,0,0,0,3.20E-06,0,6068.83,0.0573551,0,0,0,0,0.0164862,5,31
0,-0.114616,-0.352759,0.370912,-8.56E-17,-8.56E-17,-3.93E-16,1.22E-16,4.20E-16,-3.93E-16,1.22E-16,4.20E-16,0,0,0,0,3.20E-06,0,6070.43,0.0573536,0,0,0,0,0.0164833,5,13834
0,-0.114616,0.352759,0.370912,-4.22E-17,-4.22E-17,-3.93E-16,-1.22E-16,4.13E-16,-3.93E-16,-1.22E-16,4.13E-16,0,0,0,0,3.20E-06,0,6070.43,0.0573514,0,0,0,0,0.0164827,5,40385
